# ----------------------------------------
# 全部移动应用数据
# 互动度概览
# 20160101-20191017
# ----------------------------------------

天索引,屏幕浏览量
2019/5/5,"59,461"
2019/5/6,"67,452"
2019/5/7,"65,251"
2019/5/8,"65,620"
2019/5/9,"60,455"
2019/5/10,"55,527"
2019/5/11,"49,358"
2019/5/12,"50,551"
2019/5/13,"56,530"
2019/5/14,"55,898"
2019/5/15,"63,750"
2019/5/16,"61,528"
2019/5/17,"60,600"
2019/5/18,"47,863"
2019/5/19,"47,579"
2019/5/20,"54,421"
2019/5/21,"56,285"
2019/5/22,"63,864"
2019/5/23,"62,893"
2019/5/24,"60,253"
2019/5/25,"52,216"
2019/5/26,"49,035"
2019/5/27,"58,278"
2019/5/28,"67,708"
2019/5/29,"63,073"
2019/5/30,"57,146"
2019/5/31,"60,585"
2019/6/1,"45,459"
2019/6/2,"47,346"
2019/6/3,"57,820"
2019/6/4,"94,705"
2019/6/5,"66,686"
2019/6/6,"66,694"
2019/6/7,"49,661"
2019/6/8,"44,599"
2019/6/9,"44,629"
2019/6/10,"59,955"
2019/6/11,"58,238"
2019/6/12,"61,545"
2019/6/13,"57,705"
2019/6/14,"51,370"
2019/6/15,"41,516"
2019/6/16,"39,090"
2019/6/17,"51,084"
2019/6/18,"49,231"
2019/6/19,"50,191"
2019/6/20,"53,274"
2019/6/21,"49,664"
2019/6/22,"45,577"
2019/6/23,"43,279"
2019/6/24,"49,406"
2019/6/25,"56,467"
2019/6/26,"58,087"
2019/6/27,"52,870"
2019/6/28,"50,333"
2019/6/29,"42,890"
2019/6/30,"39,150"
2019/7/1,"49,164"
2019/7/2,"51,993"
2019/7/3,"56,092"
2019/7/4,"57,344"
2019/7/5,"57,645"
2019/7/6,"53,898"
2019/7/7,"49,296"
2019/7/8,"60,673"
2019/7/9,"57,672"
2019/7/10,"57,005"
2019/7/11,"57,721"
2019/7/12,"54,601"
2019/7/13,"48,817"
2019/7/14,"46,426"
2019/7/15,"55,503"
2019/7/16,"56,477"
2019/7/17,"52,408"
2019/7/18,"57,668"
2019/7/19,"55,187"
2019/7/20,"46,564"
2019/7/21,"43,381"
2019/7/22,"51,428"
2019/7/23,"54,754"
2019/7/24,"55,048"
2019/7/25,"52,876"
2019/7/26,"56,774"
2019/7/27,"45,670"
2019/7/28,"41,630"
2019/7/29,"54,615"
2019/7/30,"52,313"
2019/7/31,"53,578"
2019/8/1,"54,319"
2019/8/2,"51,209"
2019/8/3,"45,173"
2019/8/4,"44,440"
2019/8/5,"49,910"
2019/8/6,"49,969"
2019/8/7,"52,027"
2019/8/8,"59,866"
2019/8/9,"59,856"
2019/8/10,"47,718"
2019/8/11,"43,078"
2019/8/12,"49,515"
2019/8/13,"54,012"
2019/8/14,"53,528"
2019/8/15,"51,074"
2019/8/16,"49,272"
2019/8/17,"41,511"
2019/8/18,"40,268"
2019/8/19,"47,011"
2019/8/20,"48,714"
2019/8/21,"53,724"
2019/8/22,"55,854"
2019/8/23,"51,054"
2019/8/24,"44,905"
2019/8/25,"40,440"
2019/8/26,"48,942"
2019/8/27,"50,832"
2019/8/28,"57,685"
2019/8/29,"60,393"
2019/8/30,"55,898"
2019/8/31,"43,578"
2019/9/1,"44,736"
2019/9/2,"51,722"
2019/9/3,"53,063"
2019/9/4,"56,629"
2019/9/5,"53,808"
2019/9/6,"55,548"
2019/9/7,"47,717"
2019/9/8,"43,000"
2019/9/9,"50,560"
2019/9/10,"59,551"
2019/9/11,"117,966"
2019/9/12,"63,535"
2019/9/13,"50,455"
2019/9/14,"46,926"
2019/9/15,"44,587"
2019/9/16,"53,696"
2019/9/17,"65,002"
2019/9/18,"63,032"
2019/9/19,"70,708"
2019/9/20,"78,137"
2019/9/21,"55,457"
2019/9/22,"47,911"
2019/9/23,"55,804"
2019/9/24,"64,749"
2019/9/25,"60,340"
2019/9/26,"61,684"
2019/9/27,"57,163"
2019/9/28,"45,199"
2019/9/29,"45,564"
2019/9/30,"45,489"
2019/10/1,"27,930"
2019/10/2,"23,134"
2019/10/3,"27,586"
2019/10/4,"22,638"
2019/10/5,"21,084"
2019/10/6,"18,123"
2019/10/7,"18,350"
2019/10/8,"26,255"
2019/10/9,"28,399"
2019/10/10,"28,158"
2019/10/11,"26,111"
2019/10/12,"26,476"
2019/10/13,"22,204"
2019/10/14,"29,140"
2019/10/15,"24,934"
2019/10/16,"27,063"
2019/10/17,"27,828"
,"70,599,607"
