# ----------------------------------------
# 全部移动应用数据
# 互动度概览
# 20160101-20191017
# ----------------------------------------

天索引,每个会话的屏幕浏览量
2019/9/29,6.63
2019/9/30,6.97
2019/10/1,6.17
2019/10/2,5.37
2019/10/3,5.72
2019/10/4,5.52
2019/10/5,5.37
2019/10/6,4.93
2019/10/7,4.99
2019/10/8,5.22
2019/10/9,5.19
2019/10/10,5.67
2019/10/11,5.47
2019/10/12,5.47
2019/10/13,5.84
2019/10/14,5.03
2019/10/15,5.09
2019/10/16,4.89
2019/10/17,5.37
,6.95
