# ----------------------------------------
# 全部移动应用数据
# 热门事件
# 20160101-20191017
# ----------------------------------------

事件操作,事件总数,唯一身份事件数,事件价值,平均价值
Back,"7,631,552","2,832,772",0,0.00
LoadMore,"6,468,698","2,743,218","3,010,495",0.47
ToArticle,"4,817,297","2,725,495",0,0.00
FocusArticle,"4,520,922","2,923,506",0,0.00
SlideBack,"2,923,974","1,227,013",0,0.00
CommonArticle,"2,493,726","985,253",0,0.00
HomeLoadNextPage,"1,341,615","647,956","1,341,615",1.00
ToHomePage,"958,271","731,426",0,0.00
ClickBackButton,"683,037","378,827",0,0.00
PhysicalBack,"614,626","254,519",0,0.00
,"40,278,431","20,621,008","4,486,104",0.11

天索引,事件总数
2016/9/4,"44,604"
2016/9/5,"46,598"
2016/9/6,"61,981"
2016/9/7,"61,290"
2016/9/8,"90,937"
2016/9/9,"53,781"
2016/9/10,"39,659"
2016/9/11,"30,563"
2016/9/12,"43,342"
2016/9/13,"59,621"
2016/9/14,"59,825"
2016/9/15,"50,139"
2016/9/16,"39,517"
2016/9/17,"44,177"
2016/9/18,"44,502"
2016/9/19,"41,918"
2016/9/20,"43,607"
2016/9/21,"54,453"
2016/9/22,"50,322"
2016/9/23,"46,395"
2016/9/24,"36,017"
2016/9/25,"32,700"
2016/9/26,"53,944"
2016/9/27,"45,886"
2016/9/28,"42,976"
2016/9/29,"53,211"
2016/9/30,"41,796"
2016/10/1,"34,735"
2016/10/2,"35,834"
2016/10/3,"35,101"
2016/10/4,"31,276"
2016/10/5,"50,790"
2016/10/6,"42,101"
2016/10/7,"39,720"
2016/10/8,"43,709"
2016/10/9,"35,467"
2016/10/10,"39,598"
2016/10/11,"45,479"
2016/10/12,"44,828"
2016/10/13,"54,147"
2016/10/14,"49,019"
2016/10/15,"42,488"
2016/10/16,"38,031"
2016/10/17,"43,118"
2016/10/18,"45,377"
2016/10/19,"49,813"
2016/10/20,"45,764"
2016/10/21,"64,566"
2016/10/22,"42,569"
2016/10/23,"35,569"
2016/10/24,"36,729"
2016/10/25,"47,208"
2016/10/26,"46,293"
2016/10/27,"51,095"
2016/10/28,"57,932"
2016/10/29,"36,526"
2016/10/30,"38,723"
2016/10/31,"37,055"
2016/11/1,"44,258"
2016/11/2,"39,191"
2016/11/3,"38,866"
2016/11/4,"46,985"
2016/11/5,"36,302"
2016/11/6,"33,636"
2016/11/7,"39,395"
2016/11/8,"42,467"
2016/11/9,"33,351"
2016/11/10,"32,395"
2016/11/11,"31,764"
2016/11/12,"35,183"
2016/11/13,"31,133"
2016/11/14,"35,284"
2016/11/15,"44,848"
2016/11/16,"42,935"
2016/11/17,"37,095"
2016/11/18,"41,267"
2016/11/19,"33,331"
2016/11/20,"30,482"
2016/11/21,"41,511"
2016/11/22,"39,008"
2016/11/23,"38,967"
2016/11/24,"41,043"
2016/11/25,"30,808"
2016/11/26,"31,906"
2016/11/27,"26,941"
2016/11/28,"33,656"
2016/11/29,"38,031"
2016/11/30,"30,767"
2016/12/1,"38,255"
2016/12/2,"28,529"
2016/12/3,"28,834"
2016/12/4,"22,709"
2016/12/5,"27,572"
2016/12/6,"31,215"
2016/12/7,"31,927"
2016/12/8,"34,572"
2016/12/9,"34,450"
2016/12/10,"27,389"
2016/12/11,"32,517"
2016/12/12,"30,136"
2016/12/13,"32,191"
2016/12/14,"35,284"
2016/12/15,"33,473"
2016/12/16,"35,935"
2016/12/17,"27,328"
2016/12/18,"24,337"
2016/12/19,"30,340"
2016/12/20,"33,392"
2016/12/21,"34,206"
2016/12/22,"32,130"
2016/12/23,"27,572"
2016/12/24,"24,093"
2016/12/25,"29,261"
2016/12/26,"30,604"
2016/12/27,"32,578"
2016/12/28,"29,627"
2016/12/29,"28,997"
2016/12/30,"28,691"
2016/12/31,"24,113"
2017/1/1,"23,767"
2017/1/2,"23,950"
2017/1/3,"31,886"
2017/1/4,"44,360"
2017/1/5,"41,877"
2017/1/6,"39,557"
2017/1/7,"36,098"
2017/1/8,"33,473"
2017/1/9,"37,299"
2017/1/10,"34,206"
2017/1/11,"37,645"
2017/1/12,"39,334"
2017/1/13,"41,877"
2017/1/14,"34,898"
2017/1/15,"30,075"
2017/1/16,"29,261"
2017/1/17,"40,025"
2017/1/18,"33,148"
2017/1/19,"37,278"
2017/1/20,"38,906"
2017/1/21,"26,534"
2017/1/22,"26,514"
2017/1/23,"33,270"
2017/1/24,"30,869"
2017/1/25,"33,860"
2017/1/26,"28,997"
2017/1/27,"23,828"
2017/1/28,"32,130"
2017/1/29,"23,686"
2017/1/30,"26,799"
2017/1/31,"25,924"
2017/2/1,"26,555"
2017/2/2,"24,194"
2017/2/3,"24,500"
2017/2/4,"27,084"
2017/2/5,"28,590"
2017/2/6,"36,302"
2017/2/7,"32,049"
2017/2/8,"30,665"
2017/2/9,"33,962"
2017/2/10,"36,485"
2017/2/11,"27,654"
2017/2/12,"26,982"
2017/2/13,"28,488"
2017/2/14,"31,927"
2017/2/15,"35,508"
2017/2/16,"38,133"
2017/2/17,"31,601"
2017/2/18,"36,749"
2017/2/19,"26,331"
2017/2/20,"30,665"
2017/2/21,"29,892"
2017/2/22,"32,822"
2017/2/23,"37,217"
2017/2/24,"33,514"
2017/2/25,"38,275"
2017/2/26,"37,421"
2017/2/27,"44,482"
2017/2/28,"43,322"
2017/3/1,"41,735"
2017/3/2,"38,723"
2017/3/3,"34,226"
2017/3/4,"38,825"
2017/3/5,"37,930"
2017/3/6,"35,040"
2017/3/7,"31,438"
2017/3/8,"34,063"
2017/3/9,"39,435"
2017/3/10,"39,049"
2017/3/11,"42,243"
2017/3/12,"32,598"
2017/3/13,"33,819"
2017/3/14,"35,813"
2017/3/15,"38,886"
2017/3/16,"36,668"
2017/3/17,"35,183"
2017/3/18,"33,595"
2017/3/19,"34,165"
2017/3/20,"39,517"
2017/3/21,"39,374"
2017/3/22,"45,703"
2017/3/23,"61,330"
2017/3/24,"51,217"
2017/3/25,"38,906"
2017/3/26,"36,017"
2017/3/27,"43,810"
2017/3/28,"41,043"
2017/3/29,"41,592"
2017/3/30,"49,019"
2017/3/31,"39,802"
2017/4/1,"45,113"
2017/4/2,"31,805"
2017/4/3,"32,191"
2017/4/4,"32,944"
2017/4/5,"41,491"
2017/4/6,"49,508"
2017/4/7,"46,049"
2017/4/8,"37,807"
2017/4/9,"39,741"
2017/4/10,"36,546"
2017/4/11,"44,970"
2017/4/12,"32,028"
2017/4/13,"37,746"
2017/4/14,"33,982"
2017/4/15,"29,404"
2017/4/16,"34,043"
2017/4/17,"43,363"
2017/4/18,"39,069"
2017/4/19,"45,031"
2017/4/20,"42,243"
2017/4/21,"36,526"
2017/4/22,"31,296"
2017/4/23,"33,290"
2017/4/24,"36,546"
2017/4/25,"54,534"
2017/4/26,"33,168"
2017/4/27,"42,956"
2017/4/28,"47,351"
2017/4/29,"35,589"
2017/4/30,"30,441"
2017/5/1,"33,392"
2017/5/2,"32,191"
2017/5/3,"37,156"
2017/5/4,"39,578"
2017/5/5,"39,761"
2017/5/6,"35,284"
2017/5/7,"43,017"
2017/5/8,"37,767"
2017/5/9,"47,758"
2017/5/10,"42,508"
2017/5/11,"36,749"
2017/5/12,"35,284"
2017/5/13,"30,848"
2017/5/14,"38,540"
2017/5/15,"39,863"
2017/5/16,"36,159"
2017/5/17,"39,395"
2017/5/18,"37,645"
2017/5/19,"37,523"
2017/5/20,"30,706"
2017/5/21,"34,165"
2017/5/22,"27,226"
2017/5/23,"54,982"
2017/5/24,"38,520"
2017/5/25,"40,860"
2017/5/26,"39,171"
2017/5/27,"41,592"
2017/5/28,"32,374"
2017/5/29,"28,468"
2017/5/30,"35,223"
2017/5/31,"35,183"
2017/6/1,"31,703"
2017/6/2,"36,994"
2017/6/3,"45,031"
2017/6/4,"38,947"
2017/6/5,"45,397"
2017/6/6,"94,600"
2017/6/7,"50,993"
2017/6/8,"39,883"
2017/6/9,"40,961"
2017/6/10,"35,834"
2017/6/11,"35,162"
2017/6/12,"37,421"
2017/6/13,"47,514"
2017/6/14,"51,298"
2017/6/15,"55,857"
2017/6/16,"45,316"
2017/6/17,"34,714"
2017/6/18,"33,148"
2017/6/19,"41,898"
2017/6/20,"51,156"
2017/6/21,"35,162"
2017/6/22,"36,302"
2017/6/23,"37,889"
2017/6/24,"31,601"
2017/6/25,"27,023"
2017/6/26,"34,816"
2017/6/27,"49,365"
2017/6/28,"47,229"
2017/6/29,"51,787"
2017/6/30,"36,810"
2017/7/1,"33,148"
2017/7/2,"33,534"
2017/7/3,"35,366"
2017/7/4,"38,947"
2017/7/5,"32,252"
2017/7/6,"45,031"
2017/7/7,"36,139"
2017/7/8,"35,223"
2017/7/9,"31,337"
2017/7/10,"47,269"
2017/7/11,"34,735"
2017/7/12,"33,127"
2017/7/13,"34,755"
2017/7/14,"32,781"
2017/7/15,"27,125"
2017/7/16,"23,828"
2017/7/17,"25,863"
2017/7/18,"39,761"
2017/7/19,"28,956"
2017/7/20,"32,008"
2017/7/21,"32,761"
2017/7/22,"26,046"
2017/7/23,"28,305"
2017/7/24,"30,726"
2017/7/25,"39,374"
2017/7/26,"39,028"
2017/7/27,"39,415"
2017/7/28,"37,400"
2017/7/29,"30,401"
2017/7/30,"28,406"
2017/7/31,"27,308"
2017/8/1,"39,150"
2017/8/2,"36,973"
2017/8/3,"36,220"
2017/8/4,"36,810"
2017/8/5,"32,008"
2017/8/6,"34,145"
2017/8/7,"33,982"
2017/8/8,"35,528"
2017/8/9,"30,156"
2017/8/10,"38,723"
2017/8/11,"36,302"
2017/8/12,"36,017"
2017/8/13,"34,491"
2017/8/14,"35,101"
2017/8/15,"39,985"
2017/8/16,"32,008"
2017/8/17,"30,970"
2017/8/18,"33,046"
2017/8/19,"31,031"
2017/8/20,"24,662"
2017/8/21,"27,308"
2017/8/22,"30,299"
2017/8/23,"29,912"
2017/8/24,"36,892"
2017/8/25,"31,438"
2017/8/26,"25,680"
2017/8/27,"27,898"
2017/8/28,"22,953"
2017/8/29,"26,148"
2017/8/30,"26,758"
2017/8/31,"27,084"
2017/9/1,"30,869"
2017/9/2,"30,014"
2017/9/3,"25,151"
2017/9/4,"28,610"
2017/9/5,"35,101"
2017/9/6,"24,032"
2017/9/7,"25,293"
2017/9/8,"27,633"
2017/9/9,"24,723"
2017/9/10,"23,177"
2017/9/11,"29,912"
2017/9/12,"36,342"
2017/9/13,"71,728"
2017/9/14,"45,601"
2017/9/15,"41,267"
2017/9/16,"32,069"
2017/9/17,"27,654"
2017/9/18,"25,985"
2017/9/19,"42,020"
2017/9/20,"30,340"
2017/9/21,"29,363"
2017/9/22,"29,831"
2017/9/23,"25,110"
2017/9/24,"23,950"
2017/9/25,"26,066"
2017/9/26,"24,418"
2017/9/27,"25,782"
2017/9/28,"23,909"
2017/9/29,"22,119"
2017/9/30,"22,587"
2017/10/1,"13,308"
2017/10/2,"12,921"
2017/10/3,"17,601"
2017/10/4,"12,820"
2017/10/5,"16,645"
2017/10/6,"14,895"
2017/10/7,"17,154"
2017/10/8,"19,718"
2017/10/9,"21,203"
2017/10/10,"22,241"
2017/10/11,"27,572"
2017/10/12,"24,907"
2017/10/13,"21,814"
2017/10/14,"20,491"
2017/10/15,"22,424"
2017/10/16,"24,194"
2017/10/17,"26,046"
2017/10/18,"25,558"
2017/10/19,"25,171"
2017/10/20,"28,671"
2017/10/21,"20,939"
2017/10/22,"22,465"
2017/10/23,"25,619"
2017/10/24,"21,488"
2017/10/25,"20,308"
2017/10/26,"26,087"
2017/10/27,"18,171"
2017/10/28,"18,049"
2017/10/29,"20,491"
2017/10/30,"27,084"
2017/10/31,"26,311"
2017/11/1,"27,348"
2017/11/2,"25,375"
2017/11/3,"25,680"
2017/11/4,"27,572"
2017/11/5,"18,476"
2017/11/6,"23,055"
2017/11/7,"22,465"
2017/11/8,"28,488"
2017/11/9,"22,261"
2017/11/10,"23,197"
2017/11/11,"21,976"
2017/11/12,"19,514"
2017/11/13,"21,081"
2017/11/14,"24,520"
2017/11/15,"21,447"
2017/11/16,"28,590"
2017/11/17,"25,558"
2017/11/18,"26,697"
2017/11/19,"19,148"
2017/11/20,"22,444"
2017/11/21,"22,139"
2017/11/22,"20,816"
2017/11/23,"20,613"
2017/11/24,"20,633"
2017/11/25,"18,497"
2017/11/26,"13,918"
2017/11/27,"24,296"
2017/11/28,"24,744"
2017/11/29,"25,598"
2017/11/30,"20,755"
2017/12/1,"18,883"
2017/12/2,"17,296"
2017/12/3,"16,971"
2017/12/4,"23,604"
2017/12/5,"20,430"
2017/12/6,"20,776"
2017/12/7,"18,110"
2017/12/8,"20,532"
2017/12/9,"17,479"
2017/12/10,"13,654"
2017/12/11,"16,218"
2017/12/12,"16,747"
2017/12/13,"20,471"
2017/12/14,"20,715"
2017/12/15,"18,497"
2017/12/16,"19,331"
2017/12/17,"17,785"
2017/12/18,"20,654"
2017/12/19,"22,811"
2017/12/20,"21,630"
2017/12/21,"18,985"
2017/12/22,"15,343"
2017/12/23,"13,735"
2017/12/24,"18,639"
2017/12/25,"18,008"
2017/12/26,"17,622"
2017/12/27,"21,488"
2017/12/28,"20,348"
2017/12/29,"20,979"
2017/12/30,"16,197"
2017/12/31,"14,732"
2018/1/1,"13,939"
2018/1/2,"17,418"
2018/1/3,"16,625"
2018/1/4,"18,293"
2018/1/5,"20,328"
2018/1/6,"20,552"
2018/1/7,"18,130"
2018/1/8,"19,392"
2018/1/9,"26,860"
2018/1/10,"31,092"
2018/1/11,"23,828"
2018/1/12,"30,584"
2018/1/13,"22,668"
2018/1/14,"22,200"
2018/1/15,"17,011"
2018/1/16,"24,561"
2018/1/17,"21,630"
2018/1/18,"21,142"
2018/1/19,"17,825"
2018/1/20,"18,151"
2018/1/21,"16,808"
2018/1/22,"16,218"
2018/1/23,"19,229"
2018/1/24,"19,677"
2018/1/25,"21,529"
2018/1/26,"18,558"
2018/1/27,"16,421"
2018/1/28,"14,468"
2018/1/29,"15,078"
2018/1/30,"16,238"
2018/1/31,"19,189"
2018/2/1,"20,186"
2018/2/2,"17,418"
2018/2/3,"13,776"
2018/2/4,"16,279"
2018/2/5,"18,314"
2018/2/6,"15,851"
2018/2/7,"15,872"
2018/2/8,"16,787"
2018/2/9,"15,506"
2018/2/10,"13,572"
2018/2/11,"14,610"
2018/2/12,"12,636"
2018/2/13,"13,247"
2018/2/14,"11,354"
2018/2/15,"9,889"
2018/2/16,"11,517"
2018/2/17,"13,776"
2018/2/18,"14,692"
2018/2/19,"11,171"
2018/2/20,"13,043"
2018/2/21,"11,660"
2018/2/22,"12,738"
2018/2/23,"13,186"
2018/2/24,"12,067"
2018/2/25,"14,610"
2018/2/26,"26,066"
2018/2/27,"20,816"
2018/2/28,"17,235"
2018/3/1,"22,404"
2018/3/2,"15,261"
2018/3/3,"15,526"
2018/3/4,"12,352"
2018/3/5,"16,869"
2018/3/6,"19,148"
2018/3/7,"20,918"
2018/3/8,"17,276"
2018/3/9,"19,433"
2018/3/10,"13,410"
2018/3/11,"15,851"
2018/3/12,"14,407"
2018/3/13,"18,843"
2018/3/14,"18,476"
2018/3/15,"13,145"
2018/3/16,"14,549"
2018/3/17,"14,142"
2018/3/18,"11,253"
2018/3/19,"14,854"
2018/3/20,"16,197"
2018/3/21,"17,846"
2018/3/22,"15,038"
2018/3/23,"16,747"
2018/3/24,"17,032"
2018/3/25,"17,459"
2018/3/26,"16,401"
2018/3/27,"18,415"
2018/3/28,"28,142"
2018/3/29,"24,316"
2018/3/30,"20,613"
2018/3/31,"17,154"
2018/4/1,"16,340"
2018/4/2,"21,346"
2018/4/3,"17,785"
2018/4/4,"19,290"
2018/4/5,"16,726"
2018/4/6,"18,130"
2018/4/7,"16,564"
2018/4/8,"16,950"
2018/4/9,"21,081"
2018/4/10,"20,532"
2018/4/11,"19,596"
2018/4/12,"25,334"
2018/4/13,"18,497"
2018/4/14,"15,322"
2018/4/15,"12,636"
2018/4/16,"19,290"
2018/4/17,"20,918"
2018/4/18,"22,851"
2018/4/19,"23,889"
2018/4/20,"19,657"
2018/4/21,"16,075"
2018/4/22,"6,776"
2018/4/23,"4,680"
2018/4/24,"19,270"
2018/4/25,"23,116"
2018/4/26,"19,067"
2018/4/27,"16,238"
2018/4/28,"16,177"
2018/4/29,"11,375"
2018/4/30,"15,383"
2018/5/1,"13,695"
2018/5/2,"17,744"
2018/5/3,"19,514"
2018/5/4,"18,456"
2018/5/5,"16,340"
2018/5/6,"16,686"
2018/5/7,"16,523"
2018/5/8,"23,930"
2018/5/9,"20,694"
2018/5/10,"22,994"
2018/5/11,"21,753"
2018/5/12,"16,950"
2018/5/13,"17,154"
2018/5/14,"20,226"
2018/5/15,"22,404"
2018/5/16,"27,023"
2018/5/17,"25,008"
2018/5/18,"23,136"
2018/5/19,"17,113"
